TrainingDataset,HumanGeneID,Symbol,Synonyms,Description,EnsemblGeneID
Tmito,152100,CMC1,C3orf68|Q7Z7K0,C-x(9)-C motif containing 1,ENSG00000187118
Tmito,10573,MRPL28,MAAT1|p15|Q13084,mitochondrial ribosomal protein L28,ENSG00000086504
Tmito,10102,TSFM,EFTS|EFTSMT|P43897,"Ts translation elongation factor, mitochondrial",ENSG00000123297
Tmito,2395,FXN,CyaY|FA|FARR|FRDA|X25|Q16595,frataxin,ENSG00000165060
Tmito,27247,NFU1,HIRIP|HIRIP5|MMDS1|NIFUC|Nfu|NifU|Q9UMS0,NFU1 iron-sulfur cluster scaffold homolog (S. cerevisiae),ENSG00000169599
Tmito,51067,YARS2,MLASA2|MT-TYRRS|TYRRS|Q9Y2Z4,"tyrosyl-tRNA synthetase 2, mitochondrial",ENSG00000139131
Tmito,219927,MRPL21,L21mt|MRP-L21|Q7Z2W9,mitochondrial ribosomal protein L21,ENSG00000197345
Tmito,8659,ALDH4A1,ALDH4|P5CD|P5CDh|P30038,"aldehyde dehydrogenase 4 family, member A1",ENSG00000159423
Tpossible_mito,84134,TOMM40L,RP11-297K8.10|TOMM40B|Q969M1,translocase of outer mitochondrial membrane 40 homolog (yeast)-like,ENSG00000158882
Tmito,51103,NDUFAF1,CGI65|CIA30|Q9Y375,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 1",ENSG00000137806
Tmito,4716,NDUFB10,PDSW|O96000,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 10, 22kDa",ENSG00000140990
Tmito,36,ACADSB,2-MEBCAD|ACAD7|SBCAD|P45954,"acyl-CoA dehydrogenase, short/branched chain",ENSG00000196177
Tmito,64965,MRPS9,MRP-S9|RPMS9|S9mt|P82933,mitochondrial ribosomal protein S9,ENSG00000135972
Tmito,56997,ADCK3,ARCA2|CABC1|COQ10D4|COQ8|SCAR9|Q8NI60,aarF domain containing kinase 3,ENSG00000163050
Tmito,37,ACADVL,ACAD6|LCACD|VLCAD|P49748,"acyl-CoA dehydrogenase, very long chain",ENSG00000072778
Tmito,51117,COQ4,CGI-92|Q9Y3A0,coenzyme Q4,ENSG00000167113
Tmito,29088,MRPL15,L15mt|MRP-L15|MRP-L7|RPML7|Q9P015,mitochondrial ribosomal protein L15,ENSG00000137547
Tmito,4695,NDUFA2,B8|CD14|CIB8|O43678,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2, 8kDa",ENSG00000131495
Tmito,79590,MRPL24,L24mt|MRP-L18|MRP-L24|Q96A35,mitochondrial ribosomal protein L24,ENSG00000143314
Tmito,3329,HSPD1,CPN60|GROEL|HLD4|HSP-60|HSP60|HSP65|HuCHA60|SPG13|P10809,heat shock 60kDa protein 1 (chaperonin),ENSG00000144381
Tmito,4725,NDUFS5,CI-15k|CI15K|O43920,"NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase)",ENSG00000168653
Tmito,50808,AK3,AK3L1|AK6|AKL3L|AKL3L1|FIX|Q9UIJ7,adenylate kinase 3,ENSG00000147853
Tmito,54205,CYCS,CYC|HCS|THC4|P99999,"cytochrome c, somatic",ENSG00000172115
Tmito,4285,MIPEP,HMIP|MIP|Q99797,mitochondrial intermediate peptidase,ENSG00000027001
Tmito,90624,LYRM7,C5orf31|MZM1L|Q5U5X0,LYR motif containing 7,ENSG00000186687
Tmito,1384,CRAT,CAT1|P43155,carnitine O-acetyltransferase,ENSG00000095321
Tmito,5096,PCCB,P05166,"propionyl CoA carboxylase, beta polypeptide",ENSG00000114054
Tmito,51081,MRPS7,MRP-S|MRP-S7|RP-S7|RPMS7|S7mt|bMRP27a|Q9Y2R9,mitochondrial ribosomal protein S7,ENSG00000125445
Tmito,11222,MRPL3,COXPD9|MRL3|RPML3|P09001,mitochondrial ribosomal protein L3,ENSG00000114686
Tmito,5625,PRODH,HSPOX2|PIG6|POX|PRODH1|PRODH2|TP53I6|O43272,proline dehydrogenase (oxidase) 1,ENSG00000100033
Tmito,5095,PCCA,P05165,"propionyl CoA carboxylase, alpha polypeptide",ENSG00000175198
Tmito,56922,MCCC1,MCC-B|MCCA|Q96RQ3,methylcrotonoyl-CoA carboxylase 1 (alpha),ENSG00000078070
Tmito,6183,MRPS12,MPR-S12|MT-RPS12|RPMS12|RPS12|RPSM12|O15235,mitochondrial ribosomal protein S12,ENSG00000128626
Tmito,81570,CLPB,HSP78|SKD3|Q9H078,ClpB caseinolytic peptidase B homolog (E. coli),ENSG00000162129
Tmito,5163,PDK1,Q15118,"pyruvate dehydrogenase kinase, isozyme 1",ENSG00000152256
Tmito,740,MRPL49,C11orf4|L49mt|MRP-L49|NOF|NOF1|Q13405,mitochondrial ribosomal protein L49,ENSG00000149792
Tmito,1347,COX7A2,COX7AL|COX7AL1|COXVIIAL|COXVIIa-L|VIIAL|P14406,cytochrome c oxidase subunit VIIa polypeptide 2 (liver),ENSG00000112695
Tmito,84233,TMEM126A,OPA7|Q9H061,transmembrane protein 126A,ENSG00000171202
Tpossible_mito,55268,ECHDC2,Q86YB7,enoyl CoA hydratase domain containing 2,ENSG00000121310
Tmito,3052,HCCS,CCHL|MCOPS7|MLS|P53701,holocytochrome c synthase,ENSG00000004961
Tmito,11112,HIBADH,NS5ATP1|P31937,3-hydroxyisobutyrate dehydrogenase,ENSG00000106049
Tmito,9801,MRPL19,L19mt|MRP-L15|MRP-L19|MRPL15|RLX1|RP11-342K6.1|RPML15|P49406,mitochondrial ribosomal protein L19,ENSG00000115364
Tmito,64979,MRPL36,BRIP1|L36mt|MRP-L36|PRPL36|RPMJ|Q9P0J6,mitochondrial ribosomal protein L36,ENSG00000171421
Tmito,253512,SLC25A30,KMCP1|Q5SVS4,"solute carrier family 25, member 30",ENSG00000174032
Tmito,622,BDH1,BDH|SDR9C1|Q02338,"3-hydroxybutyrate dehydrogenase, type 1",ENSG00000161267
Tmito,10667,FARS2,COXPD14|FARS1|HSPC320|PheRS|dJ520B18.2|O95363,"phenylalanyl-tRNA synthetase 2, mitochondrial",ENSG00000145982
Tmito,22,ABCB7,ABC7|ASAT|Atm1p|EST140535|O75027,"ATP-binding cassette, sub-family B (MDR/TAP), member 7",ENSG00000131269
Tmito,4580,MTX1,MTX|MTXN|Q13505,metaxin 1,ENSG00000173171
Tmito,4701,NDUFA7,B14.5a|O95182,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7, 14.5kDa",ENSG00000167774
Tmito,10440,TIMM17A,TIM17|TIM17A|Q99595,translocase of inner mitochondrial membrane 17 homolog A (yeast),ENSG00000134375
Tmito,223,ALDH9A1,ALDH4|ALDH7|ALDH9|E3|TMABADH|P49189,"aldehyde dehydrogenase 9 family, member A1",ENSG00000143149
Tmito,51023,MRPS18C,MRP-S18-1|MRPS18-1|Q9Y3D5,mitochondrial ribosomal protein S18C,ENSG00000163319
Tmito,92935,MARS2,MetRS|SPAX3|mtMetRS|Q96GW9,"methionyl-tRNA synthetase 2, mitochondrial",ENSG00000247626
Tmito,4329,ALDH6A1,MMSADHA|MMSDH|Q02252,"aldehyde dehydrogenase 6 family, member A1",ENSG00000119711
Tmito,2232,FDXR,ADXR|P22570,ferredoxin reductase,ENSG00000161513
Tmito,283459,GATC,15E1.2|O43716,"glutamyl-tRNA(Gln) amidotransferase, subunit C",ENSG00000111786
Tmito,10131,TRAP1,HSP 75|HSP75|HSP90L|TRAP-1|Q12931,TNF receptor-associated protein 1,ENSG00000126602
Tmito,27034,ACAD8,ACAD-8|ARC42|Q9UKU7,"acyl-CoA dehydrogenase family, member 8",ENSG00000151498
Tmito,217,ALDH2,ALDH-E2|ALDHI|ALDM|P05091,aldehyde dehydrogenase 2 family (mitochondrial),ENSG00000111275
Tmito,10105,PPIF,CYP3|CyP-M|Cyp-D|CypD|P30405,peptidylprolyl isomerase F,ENSG00000108179
Tmito,29928,TIMM22,TEX4|TIM22|Q9Y584,translocase of inner mitochondrial membrane 22 homolog (yeast),ENSG00000177370
Tmito,3712,IVD,ACAD2|P26440,isovaleryl-CoA dehydrogenase,ENSG00000128928
Tmito,79944,L2HGDH,C14orf160|Q9H9P8,L-2-hydroxyglutarate dehydrogenase,ENSG00000087299
Tmito,23474,ETHE1,HSCO|YF13H12|O95571,ethylmalonic encephalopathy 1,ENSG00000105755
Tmito,55052,MRPL20,L20mt|MRP-L20|Q9BYC9,mitochondrial ribosomal protein L20,ENSG00000242485
Tmito,292,SLC25A5,2F1|AAC2|ANT2|T2|T3|P05141,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5",ENSG00000005022
Tmito,8604,SLC25A12,AGC1|ARALAR|O75746,"solute carrier family 25 (aspartate/glutamate carrier), member 12",ENSG00000115840
Tmito,54460,MRPS21,MRP-S21|RPMS21|P82921,mitochondrial ribosomal protein S21,ENSG00000187145
Tmito,56993,TOMM22,1C9-2|MST065|MSTP065|TOM22|Q9NS69,translocase of outer mitochondrial membrane 22 homolog (yeast),ENSG00000100216
Tmito,10449,ACAA2,DSAEC|P42765,acetyl-CoA acyltransferase 2,ENSG00000167315
Tmito,51263,MRPL30,L28MT|L30MT|MRP-L28|MRP-L30|MRPL28|MRPL28M|RPML28|Q8TCC3,mitochondrial ribosomal protein L30,ENSG00000185414
Tmito,9093,DNAJA3,HCA57|TID1|hTID-1|Q96EY1,"DnaJ (Hsp40) homolog, subfamily A, member 3",ENSG00000103423
Tmito,4708,NDUFB2,AGGG|CI-AGGG|O95178,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2, 8kDa",ENSG00000090266
Tmito,65993,MRPS34,MRP-S12|MRP-S34|MRPS12|P82930,mitochondrial ribosomal protein S34,ENSG00000074071
Tmito,2109,ETFB,MADD|P38117,"electron-transfer-flavoprotein, beta polypeptide",ENSG00000105379
Tmito,246269,LACE1,AFG1|Q8WV93,lactation elevated 1,ENSG00000135537
Tmito,93974,ATPIF1,ATPI|ATPIP|IP|Q9UII2,ATPase inhibitory factor 1,ENSG00000130770
Tmito,515,ATP5F1,PIG47|P24539,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1",ENSG00000116459
Tmito,1350,COX7C,P15954,cytochrome c oxidase subunit VIIc,ENSG00000127184
Tmito,54927,CHCHD3,MINOS3|PPP1R22|Q9NX63,coiled-coil-helix-coiled-coil-helix domain containing 3,ENSG00000106554
Tmito,80219,COQ10B,Q9H8M1,coenzyme Q10 homolog B (S. cerevisiae),ENSG00000115520
Tmito,197322,ACSF3,Q4G176,acyl-CoA synthetase family member 3,ENSG00000176715
Tmito,26073,POLDIP2,PDIP38|POLD4|Q9Y2S7,"polymerase (DNA-directed), delta interacting protein 2",ENSG00000004142
Tmito,1468,SLC25A10,DIC|Q9UBX3,"solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10",ENSG00000183048
Tmito,10165,SLC25A13,ARALAR2|CITRIN|CTLN2|Q9UJS0,"solute carrier family 25 (aspartate/glutamate carrier), member 13",ENSG00000004864
Tmito,5165,PDK3,CMTX6|GS1-358P8.4|Q15120,"pyruvate dehydrogenase kinase, isozyme 3",ENSG00000067992
Tmito,10873,ME3,NADP-ME|Q16798,"malic enzyme 3, NADP(+)-dependent, mitochondrial",ENSG00000151376
Tmito,29093,MRPL22,L22mt|MRP-L22|MRP-L25|RPML25|Q9NWU5,mitochondrial ribosomal protein L22,ENSG00000082515
Tmito,3418,IDH2,D2HGA2|ICD-M|IDH|IDHM|IDP|IDPM|mNADP-IDH|P48735,"isocitrate dehydrogenase 2 (NADP+), mitochondrial",ENSG00000182054
Tmito,2639,GCDH,ACAD5|GCD|Q92947,glutaryl-CoA dehydrogenase,ENSG00000105607
Tmito,57129,MRPL47,L47mt|MRP-L47|NCM1|Q9HD33,mitochondrial ribosomal protein L47,ENSG00000136522
Tmito,27068,PPA2,SID6-306|Q9H2U2,pyrophosphatase (inorganic) 2,ENSG00000138777
Tmito,65005,MRPL9,L9mt|Q9BYD2,mitochondrial ribosomal protein L9,ENSG00000143436
Tmito,400916,CHCHD10,C22orf16|N27C7-4|Q8WYQ3,coiled-coil-helix-coiled-coil-helix domain containing 10,ENSG00000250479
Tmito,10352,WARS2,TrpRS|Q9UGM6,"tryptophanyl tRNA synthetase 2, mitochondrial",ENSG00000116874
Tmito,60386,SLC25A19,DNC|MCPHA|MUP1|THMD3|THMD4|TPC|Q9HC21,"solute carrier family 25 (mitochondrial thiamine pyrophosphate carrier), member 19",ENSG00000125454
Tmito,84869,CBR4,SDR45C1|Q8N4T8,carbonyl reductase 4,ENSG00000145439
Tmito,91689,SMDT1,C22orf32|DDDD|EMRE|dJ186O1.1|Q9H4I9,single-pass membrane protein with aspartate-rich tail 1,ENSG00000183172
Tmito,3029,HAGH,GLO2|GLX2|GLXII|HAGH1|Q16775,hydroxyacylglutathione hydrolase,ENSG00000063854
Tmito,1346,COX7A1,COX7A|COX7AH|COX7AM|P24310,cytochrome c oxidase subunit VIIa polypeptide 1 (muscle),ENSG00000161281
Tmito,92170,MTG1,GTP|GTPBP7|RP11-108K14.2|Q9BT17,mitochondrial ribosome-associated GTPase 1,ENSG00000148824
Tmito,84987,COX14,C12orf62|Q96I36,cytochrome c oxidase assembly homolog 14 (S. cerevisiae),ENSG00000178449
Tmito,55967,NDUFA12,B17.2|DAP13|Q9UI09,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 12",ENSG00000184752
Tmito,51021,MRPS16,COXPD2|MRP-S16|RPMS16|Q9Y3D3,mitochondrial ribosomal protein S16,ENSG00000182180
Tmito,80298,MTERFD3,mTERF2|mTERFL|Q49AM1,MTERF domain containing 3,ENSG00000120832
Tpossible_mito,144363,LYRM5,Q6IPR1,LYR motif containing 5,ENSG00000205707
Tmito,2820,GPD2,GDH2|GPDM|mGPDH|P43304,glycerol-3-phosphate dehydrogenase 2 (mitochondrial),ENSG00000115159
Tmito,4705,NDUFA10,CI-42KD|CI-42k|O95299,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42kDa",ENSG00000130414
Tmito,4718,NDUFC2,B14.5b|CI-B14.5b|HLC-1|NADHDH2|O95298,"NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa",ENSG00000151366
Tmito,81892,SLIRP,C14orf156|DC50|PD04872|Q9GZT3,SRA stem-loop interacting RNA binding protein,ENSG00000119705
Tmito,4508,ATP6,ATPase6|MTATP6|P00846,ATP synthase F0 subunit 6,ENSG00000198899
Tmito,4513,COX2,COII|MTCO2|P00403,cytochrome c oxidase subunit II,ENSG00000198712
Tmito,29090,TIMM21,C18orf55|TIM21|Q9BVV7,translocase of inner mitochondrial membrane 21 homolog (yeast),ENSG00000075336
Tmito,4702,NDUFA8,CI-19KD|CI-PGIV|PGIV|P51970,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8, 19kDa",ENSG00000119421
Tmito,2744,GLS,AAD20|GAC|GAM|GLS1|KGA|O94925,glutaminase,ENSG00000115419
Tmito,54539,NDUFB11,CI-ESSS|ESSS|NP17.3|Np15|P17.3|Q9NX14,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 11, 17.3kDa",ENSG00000147123
Tmito,55526,DHTKD1,AMOXAD|CMT2Q|Q96HY7,dehydrogenase E1 and transketolase domain containing 1,ENSG00000181192
Tmito,51011,FAHD2A,Q96GK7,fumarylacetoacetate hydrolase domain containing 2A,ENSG00000115042
Tmito,7923,HSD17B8,D6S2245E|FABG|FABGL|H2-KE6|HKE6|KE6|RING2|SDR30C1|dJ1033B10.9|Q92506,hydroxysteroid (17-beta) dehydrogenase 8,ENSG00000112474
Tmito,84681,HINT2,HIT-17|Q9BX68,histidine triad nucleotide binding protein 2,ENSG00000137133
Tmito,64969,MRPS5,MRP-S5|S5mt|P82675,mitochondrial ribosomal protein S5,ENSG00000144029
Tpossible_mito,221545,C6orf136,Q5SQH8,chromosome 6 open reading frame 136,ENSG00000204564
Tmito,283377,SPRYD4,Q8WW59,SPRY domain containing 4,ENSG00000176422
Tpossible_mito,387787,LIPT2,A6NK58,lipoyl(octanoyl) transferase 2 (putative),ENSG00000175536
Tmito,1666,DECR1,DECR|NADPH|SDR18C1|Q16698,"2,4-dienoyl CoA reductase 1, mitochondrial",ENSG00000104325
Tmito,64949,MRPS26,C20orf193|GI008|MRP-S13|MRP-S26|MRPS13|NY-BR-87|RPMS13|dJ534B8.3|Q9BYN8,mitochondrial ribosomal protein S26,ENSG00000125901
Tmito,10166,SLC25A15,D13S327|HHH|ORC1|ORNT1|Q9Y619,solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15,ENSG00000102743
Tmito,4731,NDUFV3,CI-10k|CI-9KD|P56181,"NADH dehydrogenase (ubiquinone) flavoprotein 3, 10kDa",ENSG00000160194
Tpossible_mito,670,BPHL,BPH-RP|MCNAA|VACVASE|Q86WA6,biphenyl hydrolase-like (serine hydrolase),ENSG00000137274
Tmito,30968,STOML2,SLP-2|Q9UJZ1,stomatin (EPB72)-like 2,ENSG00000165283
Tmito,22921,MSRB2,CBS-1|CBS1|MSRB|PILB|Q9Y3D2,methionine sulfoxide reductase B2,ENSG00000148450
Tmito,114294,LACTB,G24|MRPL56|P83111,"lactamase, beta",ENSG00000103642
Tmito,10452,TOMM40,C19orf1|D19S1177E|PER-EC1|PEREC1|TOM40|O96008,translocase of outer mitochondrial membrane 40 homolog (yeast),ENSG00000130204
Tmito,114789,SLC25A25,MCSC|PCSCL|RP11-395P17.4|SCAMC-2|Q6KCM7,"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 25",ENSG00000148339
Tpossible_mito,203054,ADCK5,Q3MIX3,aarF domain containing kinase 5,ENSG00000173137
Tmito,80724,ACAD10,Q6JQN1,"acyl-CoA dehydrogenase family, member 10",ENSG00000111271
Tmito,23078,VWA8,KIAA0564|A3KMH1,von Willebrand factor A domain containing 8,ENSG00000102763
Tmito,60492,CCDC90B,MDS011|MDS025|Q9GZT6,coiled-coil domain containing 90B,ENSG00000137500
Tmito,55735,DNAJC11,dJ126A5.1|Q9NVH1,"DnaJ (Hsp40) homolog, subfamily C, member 11",ENSG00000007923
Tmito,84266,ALKBH7,ABH7|SPATA11|UNQ6002|Q9BT30,"alkB, alkylation repair homolog 7 (E. coli)",ENSG00000125652
Tmito,2731,GLDC,GCE|GCSP|HYGN1|P23378,glycine dehydrogenase (decarboxylating),ENSG00000178445
Tpossible_mito,347411,MPC1L,P0DKB6,mitochondrial pyruvate carrier 1-like,
Tmito,117145,THEM4,CTMP|Q5T1C6,thioesterase superfamily member 4,ENSG00000159445
Tmito,6742,SSBP1,Mt-SSB|SOSS-B1|SSBP|mtSSB|Q04837,"single-stranded DNA binding protein 1, mitochondrial",ENSG00000106028
Tmito,51264,MRPL27,L27mt|Q9P0M9,mitochondrial ribosomal protein L27,ENSG00000108826
Tmito,150274,HSCB,DNAJC20|HSC20|JAC1|dJ366L4.2|Q8IWL3,HscB mitochondrial iron-sulfur cluster co-chaperone,ENSG00000100209
Tmito,55173,MRPS10,MRP-S10|PNAS-122|P82664,mitochondrial ribosomal protein S10,ENSG00000048544
Tmito,205,AK4,AK 4|AK3|AK3L1|AK3L2|P27144,adenylate kinase 4,ENSG00000162433
Tmito,55210,ATAD3A,Q9NVI7,"ATPase family, AAA domain containing 3A",ENSG00000197785
Tmito,51253,MRPL37,L37mt|MRP-L2|MRP-L37|MRPL2|RPML2|Q9BZE1,mitochondrial ribosomal protein L37,ENSG00000116221
Tmito,80142,PTGES2,C9orf15|GBF-1|GBF1|PGES2|mPGES-2|Q9H7Z7,prostaglandin E synthase 2,ENSG00000148334
Tmito,10587,TXNRD2,SELZ|TR|TR-BETA|TR3|TRXR2|Q9NNW7,thioredoxin reductase 2,ENSG00000184470
Tmito,54988,ACSM5,Q6NUN0,acyl-CoA synthetase medium-chain family member 5,ENSG00000183549
Tmito,55847,CISD1,C10orf70|ZCD1|mitoNEET|Q9NZ45,CDGSH iron sulfur domain 1,ENSG00000122873
Tmito,64975,MRPL41,BMRP|MRP-L27|MRPL27|RPML27|Q8IXM3,mitochondrial ribosomal protein L41,ENSG00000182154
Tmito,54996,MARC2,MOSC2|RP11-270A6.1|Q969Z3,mitochondrial amidoxime reducing component 2,ENSG00000117791
Tmito,64968,MRPS6,C21orf101|MRP-S6|RPMS6|S6mt|P82932,mitochondrial ribosomal protein S6,ENSG00000243927
Tmito,6150,MRPL23,L23MRP|RPL23|RPL23L|Q16540,mitochondrial ribosomal protein L23,ENSG00000214026
Tmito,58472,SQRDL,PRO1975|Q9Y6N5,sulfide quinone reductase-like (yeast),ENSG00000137767
Tmito,6341,SCO1,SCOD1|O75880,SCO1 cytochrome c oxidase assembly protein,ENSG00000133028
Tmito,23464,GCAT,KBL|O75600,glycine C-acetyltransferase,ENSG00000100116
Tmito,25902,MTHFD1L,FTHFSDC1|MTC1THFS|dJ292B18.2|Q6UB35,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like,ENSG00000120254
Tmito,10455,ECI2,ACBD2|DRS-1|DRS1|HCA88|PECI|dJ1013A10.3|O75521,enoyl-CoA delta isomerase 2,ENSG00000198721
Tmito,7381,UQCRB,MC3DN3|QCR7|QP-C|QPC|UQBC|UQBP|UQCR6|UQPC|P14927,ubiquinol-cytochrome c reductase binding protein,ENSG00000156467
Tmito,10476,ATP5H,ATPQ|O75947,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit d",ENSG00000167863
Tmito,10632,ATP5L,ATP5JG|O75964,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit G",ENSG00000167283
Tmito,131076,CCDC58,Q4VC31,coiled-coil domain containing 58,ENSG00000160124
Tmito,64087,MCCC2,MCCB|Q9HCC0,methylcrotonoyl-CoA carboxylase 2 (beta),ENSG00000131844
Tpossible_mito,84693,MCEE,GLOD2|Q96PE7,methylmalonyl CoA epimerase,ENSG00000124370
Tmito,4337,MOCS1,MIG11|MOCOD|MOCODA|Q9NZB8,molybdenum cofactor synthesis 1,ENSG00000124615
Tmito,4594,MUT,MCM|P22033,methylmalonyl CoA mutase,ENSG00000146085
Tmito,92014,SLC25A51,CG7943|MCART1|Q9H1U9,"solute carrier family 25, member 51",ENSG00000122696
Tmito,6687,SPG7,CAR|CMAR|PGN|SPG5C|Q9UQ90,spastic paraplegia 7 (pure and complicated autosomal recessive),ENSG00000197912
Tmito,518,ATP5G3,P3|P48201,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C3 (subunit 9)",ENSG00000154518
Tpossible_mito,84896,ATAD1,AFDC1|THORASE|Q8NBU5,"ATPase family, AAA domain containing 1",ENSG00000138138
Tmito,92106,OXNAD1,Q96HP4,oxidoreductase NAD-binding domain containing 1,ENSG00000154814
Tmito,26164,MTG2,GTPBP5|ObgH1|dJ1005F21.2|Q9H4K7,mitochondrial ribosome-associated GTPase 2,ENSG00000101181
Tmito,55157,DARS2,ASPRS|LBSL|MT-ASPRS|RP3-383J4.2|Q6PI48,"aspartyl-tRNA synthetase 2, mitochondrial",ENSG00000117593
Tmito,51258,MRPL51,HSPC241|MRP64|bMRP64|Q4U2R6,mitochondrial ribosomal protein L51,ENSG00000111639
Tmito,5091,PC,PCB|P11498,pyruvate carboxylase,ENSG00000173599
Tmito,171425,CLYBL,CLB|Q8N0X4,citrate lyase beta like,ENSG00000125246
Tmito,50640,PNPLA8,IPLA2(GAMMA)|IPLA2-2|IPLA2G|iPLA2gamma|Q9NP80,patatin-like phospholipase domain containing 8,ENSG00000135241
Tmito,23417,MLYCD,MCD|O95822,malonyl-CoA decarboxylase,ENSG00000103150
Tpossible_mito,100996939,PYURF,PREY|Q96I23,PIGY upstream reading frame,ENSG00000145337
Tmito,10245,TIMM17B,DXS9822|TIM17B|O60830,translocase of inner mitochondrial membrane 17 homolog B (yeast),ENSG00000126768
Tmito,64983,MRPL32,L32mt|MRP-L32|bMRP-59b|Q9BYC8,mitochondrial ribosomal protein L32,ENSG00000106591
Tmito,115286,SLC25A26,SAMC|Q70HW3,"solute carrier family 25 (S-adenosylmethionine carrier), member 26",ENSG00000144741
Tpossible_mito,58510,PRODH2,HSPOX1|Q9UF12,proline dehydrogenase (oxidase) 2,ENSG00000250799
Tpossible_mito,56954,NIT2,HEL-S-8a|Q9NQR4,"nitrilase family, member 2",ENSG00000114021
Tmito,112812,FDX1L,FDX2|Q6P4F2,ferredoxin 1-like,ENSG00000267673
Tmito,4200,ME2,ODS1|P23368,"malic enzyme 2, NAD(+)-dependent, mitochondrial",ENSG00000082212
Tmito,7284,TUFM,COXPD4|EF-TuMT|EFTU|P43|P49411,"Tu translation elongation factor, mitochondrial",ENSG00000178952
Tmito,1339,COX6A2,COX6AH|COXVIAH|Q02221,cytochrome c oxidase subunit VIa polypeptide 2,ENSG00000156885
Tmito,10463,SLC30A9,C4orf1|GAC63|HUEL|ZNT9|Q6PML9,"solute carrier family 30 (zinc transporter), member 9",ENSG00000014824
Tmito,132001,TAMM41,C3orf31|RAM41|TAM41|Q96BW9,"TAM41, mitochondrial translocator assembly and maintenance protein, homolog (S. cerevisiae)",ENSG00000144559
Tmito,100287932,TIMM23,TIM23|O14925,translocase of inner mitochondrial membrane 23 homolog (yeast),ENSG00000138297
Tmito,55005,RMND1,C6orf96|COXPD11|RMD1|bA351K16|bA351K16.3|Q9NWS8,required for meiotic nuclear division 1 homolog (S. cerevisiae),ENSG00000155906
Tmito,9927,MFN2,CMT2A|CMT2A2|CPRP1|HSG|MARF|O95140,mitofusin 2,ENSG00000116688
Tmito,728489,DNLZ,C9orf151|HEP|HEP1|TIMM15|ZIM17|bA413M3.2|Q5SXM8,DNL-type zinc finger,ENSG00000187796
Tmito,131474,CHCHD4,MIA40|TIMM40|Q8N4Q1,coiled-coil-helix-coiled-coil-helix domain containing 4,ENSG00000163528
Tmito,4706,NDUFAB1,ACP|FASN2A|SDAP|O14561,"NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa",ENSG00000004779
Tmito,116285,ACSM1,BUCS1|MACS1|Q08AH1,acyl-CoA synthetase medium-chain family member 1,ENSG00000166743
Tmito,493753,COA5,6330578E17Rik|C2orf64|Pet191|Q86WW8,cytochrome c oxidase assembly factor 5,ENSG00000183513
Tmito,27235,COQ2,CL640|COQ10D1|MSA1|Q96H96,coenzyme Q2 4-hydroxybenzoate polyprenyltransferase,ENSG00000173085
Tmito,57107,PDSS2,C6orf210|COQ10D3|DLP1|bA59I9.3|hDLP1|Q86YH6,"prenyl (decaprenyl) diphosphate synthase, subunit 2",ENSG00000164494
Tpossible_mito,1962,EHHADH,ECHD|FRTS3|L-PBE|LBFP|LBP|PBFE|Q08426,"enoyl-CoA, hydratase/3-hydroxyacyl CoA dehydrogenase",ENSG00000113790
Tmito,4722,NDUFS3,CI-30|O75489,"NADH dehydrogenase (ubiquinone) Fe-S protein 3, 30kDa (NADH-coenzyme Q reductase)",ENSG00000213619
Tmito,23456,ABCB10,EST20237|M-ABC2|MTABC2|Q9NRK6,"ATP-binding cassette, sub-family B (MDR/TAP), member 10",ENSG00000135776
Tmito,1160,CKMT2,SMTCK|P17540,"creatine kinase, mitochondrial 2 (sarcomeric)",ENSG00000131730
Tmito,64432,MRPS25,MRP-S25|RPMS25|P82663,mitochondrial ribosomal protein S25,ENSG00000131368
Tmito,28976,ACAD9,NPD002|Q9H845,"acyl-CoA dehydrogenase family, member 9",ENSG00000177646
Tmito,51241,COX16,C14orf112|Q9P0S2,COX16 cytochrome c oxidase assembly homolog (S. cerevisiae),ENSG00000133983
Tmito,125228,FAM210A,C18orf19|HsT2329|Q96ND0,"family with sequence similarity 210, member A",ENSG00000177150
